scene_floor,cand,init_x,init_y,init_z,init_angle,clearance_m,island_radius_m,island,island_area_m2,island_frac,openness_m,mean_free_range_m,bbox_dist_m,bbox_pen_m,inside_bbox,band_lo,band_hi,n_bands,band_votes,anchor_heights,score,recommended,png,status,error,git_head
00207-FRQ75PjD278_0,cand_3,5.589,0.0883,5.6143,1.5708,0.228,5.03,1,12.45,0.493,2.01,0.89,1.619,0.0,False,0.088,1.088,1,4,0.46;0.24;1.51;1.61,0.491,yes,pose_candidates/00207-FRQ75PjD278_0/cand_3.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00207-FRQ75PjD278_0,cand_4,-2.7691,0.0883,4.8728,-0.8727,0.177,5.03,1,12.45,0.493,1.54,1.01,0.123,0.0,False,0.088,1.088,1,4,0.46;0.24;1.51;1.61,0.3356,,pose_candidates/00207-FRQ75PjD278_0/cand_4.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00217-qz3829g1Lzf_0,cand_0,3.36,0.034,4.8572,0.5236,0.224,6.39,0,20.32,0.482,3.34,1.82,0.0,0.032,False,0.034,0.234,2,2/0,0.25;1.38,0.486,,pose_candidates/00217-qz3829g1Lzf_0/cand_0.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00217-qz3829g1Lzf_0,cand_1,-3.8192,0.034,4.5113,-0.2618,0.28,6.39,0,20.32,0.482,2.04,1.14,0.182,0.0,False,0.034,0.234,2,2/0,0.25;1.38,0.4305,,pose_candidates/00217-qz3829g1Lzf_0/cand_1.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00217-qz3829g1Lzf_0,cand_2,0.066,0.034,-0.0149,-2.618,0.334,6.39,0,20.32,0.482,2.87,1.82,0.0,0.066,False,0.034,0.234,2,2/0,0.25;1.38,0.5168,,pose_candidates/00217-qz3829g1Lzf_0/cand_2.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00217-qz3829g1Lzf_0,cand_3,4.4481,0.034,3.8999,1.6581,0.231,6.39,0,20.32,0.482,3.5,1.55,0.316,0.0,False,0.034,0.234,2,2/0,0.25;1.38,0.5204,,pose_candidates/00217-qz3829g1Lzf_0/cand_3.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00217-qz3829g1Lzf_0,cand_4,4.0707,0.034,4.481,1.3963,0.431,6.39,0,20.32,0.482,3.39,1.69,0.0,0.061,False,0.034,0.234,2,2/0,0.25;1.38,0.5689,yes,pose_candidates/00217-qz3829g1Lzf_0/cand_4.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00217-qz3829g1Lzf_3,cand_0,3.9675,0.034,4.9596,0.7854,0.293,6.39,0,20.32,0.482,3.53,1.61,0.14,0.0,False,0.034,0.234,2,4/0,1.61;0.86;0.53;0.07,0.5275,,pose_candidates/00217-qz3829g1Lzf_3/cand_0.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00217-qz3829g1Lzf_3,cand_1,-3.9467,0.034,4.5993,-0.2618,0.182,6.39,0,20.32,0.482,2.11,1.06,0.27,0.0,False,0.034,0.234,2,4/0,1.61;0.86;0.53;0.07,0.4066,,pose_candidates/00217-qz3829g1Lzf_3/cand_1.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00217-qz3829g1Lzf_3,cand_2,4.8514,0.034,4.035,1.5708,0.155,6.39,0,20.32,0.482,3.53,1.31,0.533,0.0,False,0.034,0.234,2,4/0,1.61;0.86;0.53;0.07,0.5115,,pose_candidates/00217-qz3829g1Lzf_3/cand_2.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00217-qz3829g1Lzf_3,cand_3,-3.1726,0.034,4.4834,0.1745,0.229,6.39,0,20.32,0.482,2.03,1.14,0.154,0.0,False,0.034,0.234,2,4/0,1.61;0.86;0.53;0.07,0.4059,,pose_candidates/00217-qz3829g1Lzf_3/cand_3.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00217-qz3829g1Lzf_3,cand_4,4.0487,0.034,4.2945,1.4835,0.54,6.39,0,20.32,0.482,3.53,1.77,0.0,0.083,False,0.034,0.234,2,4/0,1.61;0.86;0.53;0.07,0.6123,yes,pose_candidates/00217-qz3829g1Lzf_3/cand_4.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00245-741Fdj7NLF9_0,cand_0,4.3375,0.1338,15.191,-2.2689,0.358,10.31,0,40.2,1.0,2.24,1.82,3.615,0.0,False,-0.066,0.134,1,4,0.96;0.21;0.46;0.19,0.6669,,pose_candidates/00245-741Fdj7NLF9_0/cand_0.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00245-741Fdj7NLF9_0,cand_1,-4.8276,-0.0384,11.9646,-2.0944,0.254,10.31,0,40.2,1.0,2.95,1.22,3.94,0.0,False,-0.066,0.134,1,4,0.96;0.21;0.46;0.19,0.6963,,pose_candidates/00245-741Fdj7NLF9_0/cand_1.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00245-741Fdj7NLF9_0,cand_2,11.346,-0.0223,12.5682,2.5307,0.323,10.31,0,40.2,1.0,3.72,1.68,9.788,0.0,False,-0.066,0.134,1,4,0.96;0.21;0.46;0.19,0.7291,,pose_candidates/00245-741Fdj7NLF9_0/cand_2.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00245-741Fdj7NLF9_0,cand_3,11.0628,0.0109,17.9426,0.0873,0.519,10.31,0,40.2,1.0,3.04,1.52,10.529,0.0,False,-0.066,0.134,1,4,0.96;0.21;0.46;0.19,0.8077,yes,pose_candidates/00245-741Fdj7NLF9_0/cand_3.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00245-741Fdj7NLF9_0,cand_4,-1.0823,0.1338,14.4309,1.6581,0.331,10.31,0,40.2,1.0,3.07,1.62,0.195,0.0,False,-0.066,0.134,1,4,0.96;0.21;0.46;0.19,0.6518,,pose_candidates/00245-741Fdj7NLF9_0/cand_4.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00256-92vYG1q49FY_0,cand_0,-0.6722,-2.6367,-0.0638,-0.2618,0.234,8.95,0,38.79,0.548,2.79,1.96,0.0,0.099,False,-2.837,-2.037,3,4/2/1,-0.61;-0.40;-1.72;-2.24,0.482,,pose_candidates/00256-92vYG1q49FY_0/cand_0.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00256-92vYG1q49FY_0,cand_1,3.6639,-2.6367,6.7782,1.309,0.234,8.95,0,38.79,0.548,2.59,1.08,1.348,0.0,False,-2.837,-2.037,3,4/2/1,-0.61;-0.40;-1.72;-2.24,0.5624,,pose_candidates/00256-92vYG1q49FY_0/cand_1.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00256-92vYG1q49FY_0,cand_2,-5.5042,-2.6367,6.3493,-0.6981,0.195,8.95,0,38.79,0.548,1.18,0.74,2.438,0.0,False,-2.837,-2.037,3,4/2/1,-0.61;-0.40;-1.72;-2.24,0.4061,,pose_candidates/00256-92vYG1q49FY_0/cand_2.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00256-92vYG1q49FY_0,cand_3,-6.7845,-2.8367,-4.9131,-2.9671,0.243,8.95,0,38.79,0.548,2.72,1.51,2.517,0.0,False,-2.837,-2.037,3,4/2/1,-0.61;-0.40;-1.72;-2.24,0.579,yes,pose_candidates/00256-92vYG1q49FY_0/cand_3.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00256-92vYG1q49FY_0,cand_4,0.088,-2.8367,-5.2666,2.3562,0.401,8.95,0,38.79,0.548,3.89,1.77,0.0,0.088,False,-2.837,-2.037,3,4/2/1,-0.61;-0.40;-1.72;-2.24,0.5701,,pose_candidates/00256-92vYG1q49FY_0/cand_4.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00262-1xGrZPxG1Hz_0,cand_0,-6.9448,0.1108,2.8765,1.9199,0.249,6.09,1,23.75,0.548,2.05,1.24,0.374,0.0,False,0.111,0.711,3,4/2/0,0.51;1.57;1.49;0.60,0.4518,,pose_candidates/00262-1xGrZPxG1Hz_0/cand_0.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00262-1xGrZPxG1Hz_0,cand_1,-8.8153,0.1108,0.0017,-2.5307,0.308,6.09,1,23.75,0.548,2.24,1.31,0.0,0.002,False,0.111,0.711,3,4/2/0,0.51;1.57;1.49;0.60,0.4567,,pose_candidates/00262-1xGrZPxG1Hz_0/cand_1.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00262-1xGrZPxG1Hz_0,cand_2,-3.7927,0.1108,2.9799,-0.6109,0.506,6.09,1,23.75,0.548,3.25,2.06,0.075,0.0,False,0.111,0.711,3,4/2/0,0.51;1.57;1.49;0.60,0.6195,yes,pose_candidates/00262-1xGrZPxG1Hz_0/cand_2.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00262-1xGrZPxG1Hz_0,cand_3,-8.923,0.1108,2.4806,-2.3562,0.224,6.09,1,23.75,0.548,2.46,1.46,1.736,0.0,False,0.111,0.711,3,4/2/0,0.51;1.57;1.49;0.60,0.545,,pose_candidates/00262-1xGrZPxG1Hz_0/cand_3.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00262-1xGrZPxG1Hz_0,cand_4,-6.9978,0.1108,-0.0241,1.7453,0.169,6.09,1,23.75,0.548,1.76,0.89,0.0,0.024,False,0.111,0.711,3,4/2/0,0.51;1.57;1.49;0.60,0.3534,,pose_candidates/00262-1xGrZPxG1Hz_0/cand_4.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00262-1xGrZPxG1Hz_5,cand_0,-6.6924,0.1108,3.0028,1.9199,0.375,6.09,1,23.75,0.548,2.18,1.22,0.156,0.0,False,0.111,0.711,3,4/3/0,0.47;1.34;1.68;1.54,0.4937,,pose_candidates/00262-1xGrZPxG1Hz_5/cand_0.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00262-1xGrZPxG1Hz_5,cand_1,-8.8838,0.1108,-0.0991,-2.5307,0.237,6.09,1,23.75,0.548,2.29,1.24,0.0,0.099,False,0.111,0.711,3,4/3/0,0.47;1.34;1.68;1.54,0.4332,,pose_candidates/00262-1xGrZPxG1Hz_5/cand_1.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00262-1xGrZPxG1Hz_5,cand_2,-3.6451,0.1108,3.418,-0.4363,0.653,6.09,1,23.75,0.548,3.41,2.07,0.0,0.006,False,0.111,0.711,3,4/3/0,0.47;1.34;1.68;1.54,0.6706,yes,pose_candidates/00262-1xGrZPxG1Hz_5/cand_2.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00262-1xGrZPxG1Hz_5,cand_3,-8.9956,0.1108,2.2876,-2.4435,0.151,6.09,1,23.75,0.548,2.62,1.46,1.543,0.0,False,0.111,0.711,3,4/3/0,0.47;1.34;1.68;1.54,0.5318,,pose_candidates/00262-1xGrZPxG1Hz_5/cand_3.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00262-1xGrZPxG1Hz_5,cand_4,-7.0827,0.1108,-0.0334,1.7453,0.162,6.09,1,23.75,0.548,1.82,0.91,0.0,0.033,False,0.111,0.711,3,4/3/0,0.47;1.34;1.68;1.54,0.3558,,pose_candidates/00262-1xGrZPxG1Hz_5/cand_4.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00313-PE6kVEtrxtj_0,cand_0,0.087,0.0985,6.0882,1.1345,0.635,5.88,0,23.8,0.565,3.05,2.21,0.0,0.087,False,0.099,0.299,2,4/0,0.70;0.76;0.63;0.86,0.667,yes,pose_candidates/00313-PE6kVEtrxtj_0/cand_0.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00313-PE6kVEtrxtj_0,cand_1,4.307,0.0985,5.3962,1.1345,0.276,5.88,0,23.8,0.565,1.62,0.91,0.509,0.0,False,0.099,0.299,2,4/0,0.70;0.76;0.63;0.86,0.4361,,pose_candidates/00313-PE6kVEtrxtj_0/cand_1.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00313-PE6kVEtrxtj_0,cand_2,-3.6753,0.1302,5.7962,-2.0071,0.158,5.88,0,23.8,0.565,3.34,1.31,0.544,0.0,False,0.099,0.299,2,4/0,0.70;0.76;0.63;0.86,0.5306,,pose_candidates/00313-PE6kVEtrxtj_0/cand_2.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00313-PE6kVEtrxtj_0,cand_3,-2.4353,0.1995,7.3255,-0.0873,0.262,5.88,0,23.8,0.565,3.08,1.36,0.279,0.0,False,0.099,0.299,2,4/0,0.70;0.76;0.63;0.86,0.5456,,pose_candidates/00313-PE6kVEtrxtj_0/cand_3.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00313-PE6kVEtrxtj_0,cand_4,-2.1771,0.0985,5.752,-1.309,0.308,5.88,0,23.8,0.565,3.63,2.0,0.021,0.0,False,0.099,0.299,2,4/0,0.70;0.76;0.63;0.86,0.5382,,pose_candidates/00313-PE6kVEtrxtj_0/cand_4.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00366-fxbzYAGkrtm_1,cand_0,-1.816,0.0174,6.0886,2.7053,0.3,10.25,0,58.58,0.55,1.91,1.28,0.124,0.0,False,-0.783,0.817,2,0/4,0.31;0.20;0.95;0.38,0.433,,pose_candidates/00366-fxbzYAGkrtm_1/cand_0.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00366-fxbzYAGkrtm_1,cand_1,3.9967,0.0174,-1.4787,1.4835,0.351,10.25,0,58.58,0.55,2.04,1.02,0.415,0.0,False,-0.783,0.817,2,0/4,0.31;0.20;0.95;0.38,0.4958,,pose_candidates/00366-fxbzYAGkrtm_1/cand_1.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00366-fxbzYAGkrtm_1,cand_2,-10.8034,0.0174,5.6624,-1.5708,0.234,10.25,0,58.58,0.55,1.51,0.78,5.447,0.0,False,-0.783,0.817,2,0/4,0.31;0.20;0.95;0.38,0.455,,pose_candidates/00366-fxbzYAGkrtm_1/cand_2.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00366-fxbzYAGkrtm_1,cand_3,3.3863,0.0174,11.6944,0.8727,0.214,10.25,0,58.58,0.55,2.13,1.04,2.106,0.0,False,-0.783,0.817,2,0/4,0.31;0.20;0.95;0.38,0.5085,,pose_candidates/00366-fxbzYAGkrtm_1/cand_3.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00366-fxbzYAGkrtm_1,cand_4,-2.702,0.107,12.1909,-0.8727,0.494,10.25,0,58.58,0.55,2.89,1.53,2.406,0.0,False,-0.783,0.817,2,0/4,0.31;0.20;0.95;0.38,0.697,yes,pose_candidates/00366-fxbzYAGkrtm_1/cand_4.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00388-pcpn6mFqFCg_0,cand_0,10.914,0.1543,1.1564,3.1416,0.345,3.78,0,5.32,0.167,1.58,1.07,0.0,0.008,False,0.154,0.754,2,2/4,0.50;0.26;0.75;0.31,0.3294,,pose_candidates/00388-pcpn6mFqFCg_0/cand_0.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00388-pcpn6mFqFCg_0,cand_1,12.4879,0.1543,-1.3717,1.8326,0.157,3.78,0,5.32,0.167,1.53,0.78,0.0,0.078,False,0.154,0.754,2,2/4,0.50;0.26;0.75;0.31,0.2487,,pose_candidates/00388-pcpn6mFqFCg_0/cand_1.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00388-pcpn6mFqFCg_0,cand_2,10.4652,0.1543,3.2422,-0.8727,0.185,3.78,0,5.32,0.167,1.71,0.81,1.561,0.0,False,0.154,0.754,2,2/4,0.50;0.26;0.75;0.31,0.3787,,pose_candidates/00388-pcpn6mFqFCg_0/cand_2.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00388-pcpn6mFqFCg_0,cand_3,10.7129,0.1543,-1.5271,-1.9199,0.201,3.78,0,5.32,0.167,1.42,0.95,0.0,0.081,False,0.154,0.754,2,2/4,0.50;0.26;0.75;0.31,0.256,,pose_candidates/00388-pcpn6mFqFCg_0/cand_3.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00388-pcpn6mFqFCg_0,cand_4,11.0026,0.1543,2.2276,0.0,0.236,3.78,0,5.32,0.167,1.8,1.08,1.006,0.0,False,0.154,0.754,2,2/4,0.50;0.26;0.75;0.31,0.4081,yes,pose_candidates/00388-pcpn6mFqFCg_0/cand_4.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00720-8B43pG641ff_0,cand_0,-3.1477,0.053,6.079,2.0071,0.257,10.08,0,57.33,0.565,2.34,1.27,0.506,0.0,False,0.053,1.053,5,0/1/4/0/0,1.93;1.99;1.16;2.04,0.5007,,pose_candidates/00720-8B43pG641ff_0/cand_0.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00720-8B43pG641ff_0,cand_1,-8.4689,0.053,-1.4955,-2.9671,0.285,10.08,0,57.33,0.565,2.14,1.16,0.001,0.0,False,0.053,1.053,5,0/1/4/0/0,1.93;1.99;1.16;2.04,0.4414,,pose_candidates/00720-8B43pG641ff_0/cand_1.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00720-8B43pG641ff_0,cand_2,4.8887,0.053,9.1556,0.6109,0.161,10.08,0,57.33,0.565,1.87,0.94,3.968,0.0,False,0.053,1.053,5,0/1/4/0/0,1.93;1.99;1.16;2.04,0.4643,,pose_candidates/00720-8B43pG641ff_0/cand_2.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00720-8B43pG641ff_0,cand_3,-0.0865,0.053,-0.4005,2.7053,0.21,10.08,0,57.33,0.565,3.08,2.01,0.0,0.087,False,0.053,1.053,5,0/1/4/0/0,1.93;1.99;1.16;2.04,0.497,,pose_candidates/00720-8B43pG641ff_0/cand_3.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00720-8B43pG641ff_0,cand_4,-8.7318,0.053,10.488,-1.0472,0.158,10.08,0,57.33,0.565,2.28,0.93,6.868,0.0,False,0.053,1.053,5,0/1/4/0/0,1.93;1.99;1.16;2.04,0.5039,yes,pose_candidates/00720-8B43pG641ff_0/cand_4.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
